IO Bank,Pin Number,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg Trace Delay (ps),Avg Trace Delay (mm),Avg Trace Delay (mils)
0,H13,TDI_0,116.5,117.67,117.085,18.01307692,709.1762568
0,G14,TDO_0,124.44,125.69,125.065,19.24076923,757.5105996
0,T13,CFGBVS_0,28.151,28.434,28.2925,4.352692308,171.3658389
0,T11,PROGRAM_B_0,47.213,47.687,47.45,7.3,287.4015748
0,G12,TMS_0,113.157,114.295,113.726,17.49630769,688.8310115
0,R12,VCCO_0,,,,,
13,V10,IO_L1P_T0_13,93.976,94.92,94.448,14.53046154,572.0654149
13,V9,IO_L1N_T0_13,81.674,82.495,82.0845,12.62838462,497.1804967
13,V8,IO_L2P_T0_13,177.617,179.403,178.51,27.46307692,1081.223501
13,W8,IO_L2N_T0_13,177.089,178.869,177.979,27.38138462,1078.007268
13,W11,IO_L3P_T0_DQS_13,199.183,201.185,200.184,30.79753846,1212.501514
13,W10,IO_L3N_T0_DQS_13,195.546,197.512,196.529,30.23523077,1190.363416
13,V12,IO_L4P_T0_13,269.355,272.063,270.709,41.64753846,1639.666869
13,W12,IO_L4N_T0_13,264.993,267.657,266.325,40.97307692,1613.113265
13,U12,IO_L5P_T0_13,210.804,212.922,211.863,32.59430769,1283.24046
13,U11,IO_L5N_T0_13,217.94,220.13,219.035,33.69769231,1326.6808
13,U10,IO_L6P_T0_13,79.947,80.75,80.3485,12.36130769,486.6656572
13,U9,IO_L6N_T0_VREF_13,63.491,64.129,63.81,9.816923077,386.4930345
13,AA12,IO_L7P_T1_13,146.591,148.065,147.328,22.66584615,892.3561478
13,AB12,IO_L7N_T1_13,138.848,140.244,139.546,21.46861538,845.2210781
13,AA11,IO_L8P_T1_13,155.208,156.768,155.988,23.99815385,944.8092065
13,AB11,IO_L8N_T1_13,159.531,161.135,160.333,24.66661538,971.1265899
13,AB10,IO_L9P_T1_DQS_13,137.675,139.059,138.367,21.28723077,838.0799515
13,AB9,IO_L9N_T1_DQS_13,112.151,113.279,112.715,17.34076923,682.70745
13,Y11,IO_L10P_T1_13,141.942,143.368,142.655,21.94692308,864.0520896
13,Y10,IO_L10N_T1_13,134.578,135.93,135.254,20.80830769,819.2247123
13,AA9,IO_L11P_T1_SRCC_13,117.513,118.695,118.104,18.16984615,715.3482738
13,AA8,IO_L11N_T1_SRCC_13,112.87,114.004,113.437,17.45184615,687.0805572
13,Y9,IO_L12P_T1_MRCC_13,85.64,86.5,86.07,13.24153846,521.3204119
13,Y8,IO_L12N_T1_MRCC_13,93.53,94.47,94,14.46153846,569.3519079
13,Y6,IO_L13P_T2_MRCC_13,79.772,80.574,80.173,12.33430769,485.6026651
13,Y5,IO_L13N_T2_MRCC_13,74.503,75.252,74.8775,11.51961538,453.5281647
13,AA7,IO_L14P_T2_SRCC_13,96.839,97.812,97.3255,14.97315385,589.4942459
13,AA6,IO_L14N_T2_SRCC_13,89.98,90.884,90.432,13.91261538,547.7407632
13,AB2,IO_L15P_T2_DQS_13,98.843,99.836,99.3395,15.283,601.6929134
13,AB1,IO_L15N_T2_DQS_13,113.514,114.654,114.084,17.55138462,690.9993943
13,AB5,IO_L16P_T2_13,76.105,76.87,76.4875,11.76730769,463.2798304
13,AB4,IO_L16N_T2_13,76.897,77.67,77.2835,11.88976923,468.1011508
13,AB7,IO_L17P_T2_13,90.318,91.226,90.772,13.96492308,549.8001211
13,AB6,IO_L17N_T2_13,81.889,82.712,82.3005,12.66161538,498.4887947
13,Y4,IO_L18P_T2_13,55.102,55.655,55.3785,8.519769231,335.4239855
13,AA4,IO_L18N_T2_13,74.203,74.949,74.576,11.47323077,451.7019988
13,R6,IO_L19P_T3_13,66.198,66.864,66.531,10.23553846,402.9739552
13,T6,IO_L19N_T3_VREF_13,24.813,25.062,24.9375,3.836538462,151.0448213
13,T4,IO_L20P_T3_13,62.589,63.218,62.9035,9.677461538,381.0024228
13,U4,IO_L20N_T3_13,36.01,36.372,36.191,5.567846154,219.2065415
13,V5,IO_L21P_T3_DQS_13,31.265,31.579,31.422,4.834153846,190.3210176
13,V4,IO_L21N_T3_DQS_13,35.4,35.756,35.578,5.473538462,215.4936402
13,U6,IO_L22P_T3_13,27.573,27.85,27.7115,4.263307692,167.8467595
13,U5,IO_L22N_T3_13,27.554,27.831,27.6925,4.260384615,167.7316778
13,V7,IO_L23P_T3_13,32.808,33.138,32.973,5.072769231,199.715324
13,W7,IO_L23N_T3_13,36.404,36.77,36.587,5.628769231,221.6050878
13,W6,IO_L24P_T3_13,46.056,46.519,46.2875,7.121153846,280.3603876
13,W5,IO_L24N_T3_13,46.122,46.586,46.354,7.131384615,280.7631738
13,AA10,VCCO_13,,,,,
13,AB3,VCCO_13,,,,,
13,T5,VCCO_13,,,,,
13,U8,VCCO_13,,,,,
13,V11,VCCO_13,,,,,
13,W4,VCCO_13,,,,,
13,Y7,VCCO_13,,,,,
33,U19,IO_0_33,53.056,53.59,53.323,8.203538462,322.9739552
33,T21,IO_L1P_T0_33,54.428,54.975,54.7015,8.415615385,331.3234403
33,U21,IO_L1N_T0_33,70.405,71.113,70.759,10.886,428.5826772
33,T22,IO_L2P_T0_33,63.022,63.655,63.3385,9.744384615,383.6371896
33,U22,IO_L2N_T0_33,71.675,72.395,72.035,11.08230769,436.3113265
33,V22,IO_L3P_T0_DQS_33,77.37,78.147,77.7585,11.96284615,470.978195
33,W22,IO_L3N_T0_DQS_33,71.653,72.373,72.013,11.07892308,436.1780739
33,W20,IO_L4P_T0_33,88.735,89.627,89.181,13.72015385,540.1635373
33,W21,IO_L4N_T0_33,75.69,76.45,76.07,11.70307692,460.75106
33,Y18,IO_L12P_T1_MRCC_33,78.944,79.738,79.341,12.20630769,480.563295
33,AA18,IO_L12N_T1_MRCC_33,75.81,76.572,76.191,11.72169231,461.4839491
33,W17,IO_L13P_T2_MRCC_33,79.487,80.285,79.886,12.29015385,483.8643247
33,W18,IO_L13N_T2_MRCC_33,69.848,70.55,70.199,10.79984615,425.1907935
33,W16,IO_L14P_T2_SRCC_33,120.115,121.323,120.719,18.57215385,731.1871593
33,Y16,IO_L14N_T2_SRCC_33,109.503,110.603,110.053,16.93123077,666.5838886
33,U15,IO_L15P_T2_DQS_33,71.834,72.556,72.195,11.10692308,437.2804361
33,U16,IO_L15N_T2_DQS_33,65.35,66.007,65.6785,10.10438462,397.8104179
33,U17,IO_L16P_T2_33,55.727,56.287,56.007,8.616461538,339.2307692
33,V17,IO_L16N_T2_33,46.575,47.043,46.809,7.201384615,283.5190793
33,AA17,IO_L17P_T2_33,79.434,80.232,79.833,12.282,483.5433071
33,AB17,IO_L17N_T2_33,76.356,77.124,76.74,11.80615385,464.8092065
33,AA16,IO_L18P_T2_33,70.779,71.49,71.1345,10.94376923,430.8570563
33,AB16,IO_L18N_T2_33,84.97,85.824,85.397,13.138,517.2440945
33,V14,IO_L19P_T3_33,74.097,74.842,74.4695,11.45684615,451.0569352
33,V15,IO_L19N_T3_VREF_33,58.589,59.178,58.8835,9.059,356.6535433
33,V13,IO_L20P_T3_33,85.132,85.988,85.56,13.16307692,518.2313749
33,W13,IO_L20N_T3_33,80.383,81.191,80.787,12.42876923,489.3216233
33,W15,IO_L21P_T3_DQS_33,86.763,87.635,87.199,13.41523077,528.1586917
33,Y15,IO_L21N_T3_DQS_33,84.299,85.147,84.723,13.03430769,513.1617202
33,Y14,IO_L22P_T3_33,80.311,81.118,80.7145,12.41761538,488.8824955
33,AA14,IO_L22N_T3_33,74.667,75.417,75.042,11.54492308,454.5245306
33,Y13,IO_L23P_T3_33,66.442,67.109,66.7755,10.27315385,404.4548758
33,AA13,IO_L23N_T3_33,64.922,65.575,65.2485,10.03823077,395.2059358
33,AB14,IO_L24P_T3_33,76.92,77.693,77.3065,11.89330769,468.2404603
33,AB15,IO_L24N_T3_33,68.27,68.956,68.613,10.55584615,415.5844942
33,U14,IO_25_33,42.799,43.229,43.014,6.617538462,260.5330103
33,AA20,VCCO_33,,,,,
33,AB13,VCCO_33,,,,,
33,U18,VCCO_33,,,,,
33,V21,VCCO_33,,,,,
33,W14,VCCO_33,,,,,
33,Y17,VCCO_33,,,,,
34,H15,IO_0_34,60.665,61.275,60.97,9.38,369.2913386
34,J15,IO_L1P_T0_34,66.511,67.18,66.8455,10.28392308,404.8788613
34,K15,IO_L1N_T0_34,71.678,72.398,72.038,11.08276923,436.3294973
34,J16,IO_L2P_T0_34,89.134,90.03,89.582,13.78184615,542.5923683
34,J17,IO_L2N_T0_34,42.597,43.025,42.811,6.586307692,259.3034525
34,K16,IO_L3P_T0_DQS_PUDC_B_34,69.678,70.378,70.028,10.77353846,424.1550575
34,L16,IO_L3N_T0_DQS_34,57.712,58.292,58.002,8.923384615,351.3143549
34,N17,IO_L5P_T0_34,133.611,134.953,134.282,20.65876923,813.3373713
34,N18,IO_L5N_T0_34,116.458,117.628,117.043,18.00661538,708.9218655
34,M15,IO_L6P_T0_34,66.368,67.036,66.702,10.26184615,404.0096911
34,M16,IO_L6N_T0_VREF_34,39.374,39.77,39.572,6.088,239.6850394
34,J20,IO_L9P_T1_DQS_34,49.633,50.132,49.8825,7.674230769,302.1350697
34,K21,IO_L9N_T1_DQS_34,48.891,49.382,49.1365,7.559461538,297.616596
34,K19,IO_L11P_T1_SRCC_34,48.268,48.754,48.511,7.463230769,293.827983
34,K20,IO_L11N_T1_SRCC_34,43.414,43.85,43.632,6.712615385,264.2761962
34,L18,IO_L12P_T1_MRCC_34,42.393,42.819,42.606,6.554769231,258.0617807
34,L19,IO_L12N_T1_MRCC_34,53.31,53.846,53.578,8.242769231,324.5184737
34,N15,IO_L19P_T3_34,85.992,86.856,86.424,13.296,523.4645669
34,P15,IO_L19N_T3_VREF_34,44.468,44.915,44.6915,6.875615385,270.6935191
34,T17,IO_L21N_T3_DQS_34,122.135,123.363,122.749,18.88446154,743.4827377
34,R18,IO_L23P_T3_34,54.96,55.513,55.2365,8.497923077,334.5639007
34,T18,IO_L23N_T3_34,64.984,65.637,65.3105,10.04776923,395.5814658
34,P16,IO_L24P_T3_34,43.7,44.14,43.92,6.756923077,266.0205936
34,R16,IO_L24N_T3_34,68.227,68.913,68.57,10.54923077,415.324046
34,R15,IO_25_34,53.787,54.328,54.0575,8.316538462,327.4227741
34,K17,VCCO_34,,,,,
34,L20,VCCO_34,,,,,
34,N16,VCCO_34,,,,,
34,P19,VCCO_34,,,,,
34,R22,VCCO_34,,,,,
34,T15,VCCO_34,,,,,
